SNOMEDCode,description
'11415811000001106,Zopiclone 7.5mg tablets (PLIVA Pharma Ltd)
'11415911000001101,Zopiclone 7.5mg tablets (PLIVA Pharma Ltd)
'13771411000001103,Zopiclone 7.5mg tablets (Apotex UK Ltd)
'13771511000001104,Zopiclone 7.5mg tablets (Apotex UK Ltd)
'13984511000001102,Zimovane 7.5mg tablets (DE Pharmaceuticals)
'13985711000001106,Zimovane 7.5mg tablets (DE Pharmaceuticals)
'15203611000001105,Zopiclone 7.5mg tablets (Sigma Pharmaceuticals Plc)
'15203711000001101,Zopiclone 7.5mg tablets (Sigma Pharmaceuticals Plc)
'17877911000001107,Zopiclone 7.5mg tablets (Phoenix Healthcare Distribution Ltd)
'17879211000001109,Zopiclone 7.5mg tablets (Phoenix Healthcare Distribution Ltd)
'20032211000001105,Zimovane 7.5mg tablets (Lexon (UK) Ltd)
'20032311000001102,Zimovane 7.5mg tablets (Lexon (UK) Ltd)
'21040511000001100,Zopiclone 7.5mg tablets (Bristol Laboratories Ltd)
'21040611000001101,Zopiclone 7.5mg tablets (Bristol Laboratories Ltd)
'21922011000001104,Zopiclone 7.5mg tablets (Waymade Healthcare Plc)
'21922111000001103,Zopiclone 7.5mg tablets (Waymade Healthcare Plc)
'22656111000001102,Zopiclone 7.5mg tablets (DE Pharmaceuticals)
'22656211000001108,Zopiclone 7.5mg tablets (DE Pharmaceuticals)
'30946911000001108,Zopiclone 7.5mg tablets (Mawdsley-Brooks & Company Ltd)
'30947011000001107,Zopiclone 7.5mg tablets (Mawdsley-Brooks & Company Ltd)
'35196111000001105,Zopiclone 7.5mg tablets (NorthStar Healthcare Unlimited Company)
'35196211000001104,Zopiclone 7.5mg tablets (NorthStar Healthcare Unlimited Company)
'321198003,Diazepam 10mg tablets
'1132211000001105,Diazepam 10mg tablets
'1289511000001106,Diazepam 10mg tablets
'9106611000001109,Diazepam 10mg tablets
'734911000001103,Diazepam 10mg tablets (A A H Pharmaceuticals Ltd)
'1420011000001103,Diazepam 10mg tablets (A A H Pharmaceuticals Ltd)
'1420311000001100,Diazepam 10mg tablets (A A H Pharmaceuticals Ltd)
'486211000001103,Diazepam 10mg tablets (Actavis UK Ltd)
'1420811000001109,Diazepam 10mg tablets (Actavis UK Ltd)
'366511000001107,Diazepam 10mg tablets (Teva UK Ltd)
'1421811000001101,Diazepam 10mg tablets (Teva UK Ltd)
'230211000001106,Diazepam 10mg tablets (IVAX Pharmaceuticals UK Ltd)
'1422111000001103,Diazepam 10mg tablets (IVAX Pharmaceuticals UK Ltd)
'878511000001104,Diazepam 10mg tablets (Mylan)
'1422611000001106,Diazepam 10mg tablets (Mylan)
'305211000001102,Diazepam 10mg tablets (Kent Pharmaceuticals Ltd)
'1422711000001102,Diazepam 10mg tablets (Kent Pharmaceuticals Ltd)
'1423411000001104,Diazepam 10mg tablets (Kent Pharmaceuticals Ltd)
'253911000001109,Diazepam 10mg tablets (Ranbaxy (UK) Ltd)
'1442711000001100,Diazepam 10mg tablets (Ranbaxy (UK) Ltd)
'1443211000001101,Diazepam 10mg tablets (Ranbaxy (UK) Ltd)
'433011000001105,Diazepam 10mg tablets (Alliance Healthcare (Distribution) Ltd)
'1443411000001102,Diazepam 10mg tablets (Alliance Healthcare (Distribution) Ltd)
'1443511000001103,Diazepam 10mg tablets (Alliance Healthcare (Distribution) Ltd)
'9790811000001104,Diazepam 10mg tablets (Almus Pharmaceuticals Ltd)
'9790911000001109,Diazepam 10mg tablets (Almus Pharmaceuticals Ltd)
'10400711000001100,Diazepam 10mg tablets (Arrow Generics Ltd)
'10400811000001108,Diazepam 10mg tablets (Arrow Generics Ltd)
'10400911000001103,Diazepam 10mg tablets (Arrow Generics Ltd)
'11020311000001105,Diazepam 10mg tablets (Dr Reddy's Laboratories (UK) Ltd)
'11020411000001103,Diazepam 10mg tablets (Dr Reddy's Laboratories (UK) Ltd)
'13938311000001108,Diazepam 10mg tablets (Wockhardt UK Ltd)
'13938411000001101,Diazepam 10mg tablets (Wockhardt UK Ltd)
'16431111000001106,Diazepam 10mg tablets (Wockhardt UK Ltd)
'17197311000001106,Diazepam 10mg tablets (Sovereign Medical Ltd)
'17197411000001104,Diazepam 10mg tablets (Sovereign Medical Ltd)
'17197511000001100,Diazepam 10mg tablets (Sovereign Medical Ltd)
'18107511000001108,Diazepam 10mg tablets (Phoenix Healthcare Distribution Ltd)
'18107611000001107,Diazepam 10mg tablets (Phoenix Healthcare Distribution Ltd)
'21925811000001103,Diazepam 10mg tablets (Waymade Healthcare Plc)
'21925911000001108,Diazepam 10mg tablets (Waymade Healthcare Plc)
'23591311000001100,Diazepam 10mg tablets (Waymade Healthcare Plc)
'23861111000001100,Diazepam 10mg tablets (DE Pharmaceuticals)
'23861311000001103,Diazepam 10mg tablets (DE Pharmaceuticals)
'28922211000001102,Diazepam 10mg tablets (Crescent Pharma Ltd)
'28922311000001105,Diazepam 10mg tablets (Crescent Pharma Ltd)
'29804111000001100,Diazepam 10mg tablets (Sigma Pharmaceuticals Plc)
'29804211000001106,Diazepam 10mg tablets (Sigma Pharmaceuticals Plc)
'321197008,Diazepam 5mg tablets
'1116611000001102,Diazepam 5mg tablets
'1059411000001108,Diazepam 5mg tablets
'224211000001101,Diazepam 5mg tablets (A A H Pharmaceuticals Ltd)
'1419411000001108,Diazepam 5mg tablets (A A H Pharmaceuticals Ltd)
'1419611000001106,Diazepam 5mg tablets (A A H Pharmaceuticals Ltd)
'61811000001103,Diazepam 5mg tablets (Actavis UK Ltd)
'1419711000001102,Diazepam 5mg tablets (Actavis UK Ltd)
'647011000001103,Diazepam 5mg tablets (Teva UK Ltd)
'1419811000001105,Diazepam 5mg tablets (Teva UK Ltd)
'606511000001102,Diazepam 5mg tablets (Mylan)
'1419911000001100,Diazepam 5mg tablets (Mylan)
'833711000001100,Diazepam 5mg tablets (IVAX Pharmaceuticals UK Ltd)
'1420211000001108,Diazepam 5mg tablets (IVAX Pharmaceuticals UK Ltd)
'644911000001105,Diazepam 5mg tablets (Kent Pharmaceuticals Ltd)
'1420511000001106,Diazepam 5mg tablets (Kent Pharmaceuticals Ltd)
'1420611000001105,Diazepam 5mg tablets (Kent Pharmaceuticals Ltd)
'924411000001103,Diazepam 5mg tablets (Ranbaxy (UK) Ltd)
'1420911000001104,Diazepam 5mg tablets (Ranbaxy (UK) Ltd)
'1421011000001107,Diazepam 5mg tablets (Ranbaxy (UK) Ltd)
'521111000001100,Diazepam 5mg tablets (Alliance Healthcare (Distribution) Ltd)
'1421311000001105,Diazepam 5mg tablets (Alliance Healthcare (Distribution) Ltd)
'1421411000001103,Diazepam 5mg tablets (Alliance Healthcare (Distribution) Ltd)
'213011000001103,Diazepam 5mg tablets (Sandoz Ltd)
'1421711000001109,Diazepam 5mg tablets (Sandoz Ltd)
'8826811000001109,Diazepam 5mg tablets (Sandoz Ltd)
'9790611000001103,Diazepam 5mg tablets (Almus Pharmaceuticals Ltd)
'9790711000001107,Diazepam 5mg tablets (Almus Pharmaceuticals Ltd)
'10286311000001104,Diazepam 5mg tablets (Relonchem Ltd)
'10286511000001105,Diazepam 5mg tablets (Relonchem Ltd)
'10286611000001109,Diazepam 5mg tablets (Relonchem Ltd)
'10400411000001106,Diazepam 5mg tablets (Arrow Generics Ltd)
'10400511000001105,Diazepam 5mg tablets (Arrow Generics Ltd)
'10400611000001109,Diazepam 5mg tablets (Arrow Generics Ltd)
'11020111000001108,Diazepam 5mg tablets (Dr Reddy's Laboratories (UK) Ltd)
'11020211000001102,Diazepam 5mg tablets (Dr Reddy's Laboratories (UK) Ltd)
'13577211000001108,Diazepam 5mg tablets (DE Pharmaceuticals)
'23862111000001105,Diazepam 5mg tablets (DE Pharmaceuticals)
'13577311000001100,Diazepam 5mg tablets (DE Pharmaceuticals)
'13938111000001106,Diazepam 5mg tablets (Wockhardt UK Ltd)
'13938211000001100,Diazepam 5mg tablets (Wockhardt UK Ltd)
'16431011000001105,Diazepam 5mg tablets (Wockhardt UK Ltd)
'15081611000001101,Diazepam 5mg tablets (Sigma Pharmaceuticals Plc)
'15081711000001105,Diazepam 5mg tablets (Sigma Pharmaceuticals Plc)
'17197011000001108,Diazepam 5mg tablets (Sovereign Medical Ltd)
'17197111000001109,Diazepam 5mg tablets (Sovereign Medical Ltd)
'17197211000001103,Diazepam 5mg tablets (Sovereign Medical Ltd)
'18107311000001102,Diazepam 5mg tablets (Phoenix Healthcare Distribution Ltd)
'18107411000001109,Diazepam 5mg tablets (Phoenix Healthcare Distribution Ltd)
'23654111000001104,Diazepam 5mg tablets (Phoenix Healthcare Distribution Ltd)
'21925611000001102,Diazepam 5mg tablets (Waymade Healthcare Plc)
'21925711000001106,Diazepam 5mg tablets (Waymade Healthcare Plc)
'23591211000001108,Diazepam 5mg tablets (Waymade Healthcare Plc)
'28921811000001105,Diazepam 5mg tablets (Crescent Pharma Ltd)
'28921911000001100,Diazepam 5mg tablets (Crescent Pharma Ltd)
'30022111000001101,Diazepam 5mg tablets (Mawdsley-Brooks & Company Ltd)
'30022211000001107,Diazepam 5mg tablets (Mawdsley-Brooks & Company Ltd)
'321196004,Diazepam 2mg tablets
'998211000001100,Diazepam 2mg tablets
'1257511000001107,Diazepam 2mg tablets
'9107011000001104,Diazepam 2mg tablets
'9107111000001103,Diazepam 2mg tablets
'889411000001101,Diazepam 2mg tablets (A A H Pharmaceuticals Ltd)
'1423611000001101,Diazepam 2mg tablets (A A H Pharmaceuticals Ltd)
'1423511000001100,Diazepam 2mg tablets (A A H Pharmaceuticals Ltd)
'790811000001109,Diazepam 2mg tablets (Actavis UK Ltd)
'1423711000001105,Diazepam 2mg tablets (Actavis UK Ltd)
'223511000001101,Diazepam 2mg tablets (Teva UK Ltd)
'1423811000001102,Diazepam 2mg tablets (Teva UK Ltd)
'790211000001108,Diazepam 2mg tablets (The Boots Company Plc)
'1423911000001107,Diazepam 2mg tablets (The Boots Company Plc)
'849711000001101,Diazepam 2mg tablets (Mylan)
'1424011000001105,Diazepam 2mg tablets (Mylan)
'52211000001103,Diazepam 2mg tablets (IVAX Pharmaceuticals UK Ltd)
'1424111000001106,Diazepam 2mg tablets (IVAX Pharmaceuticals UK Ltd)
'708811000001109,Diazepam 2mg tablets (Kent Pharmaceuticals Ltd)
'1424211000001100,Diazepam 2mg tablets (Kent Pharmaceuticals Ltd)
'1424311000001108,Diazepam 2mg tablets (Kent Pharmaceuticals Ltd)
'125411000001104,Diazepam 2mg tablets (Sandoz Ltd)
'1424411000001101,Diazepam 2mg tablets (Sandoz Ltd)
'463011000001103,Diazepam 2mg tablets (Ranbaxy (UK) Ltd)
'1424511000001102,Diazepam 2mg tablets (Ranbaxy (UK) Ltd)
'1424711000001107,Diazepam 2mg tablets (Ranbaxy (UK) Ltd)
'28611000001100,Diazepam 2mg tablets (Alliance Healthcare (Distribution) Ltd)
'1424811000001104,Diazepam 2mg tablets (Alliance Healthcare (Distribution) Ltd)
'1424911000001109,Diazepam 2mg tablets (Alliance Healthcare (Distribution) Ltd)
'9790311000001108,Diazepam 2mg tablets (Almus Pharmaceuticals Ltd)
'9790511000001102,Diazepam 2mg tablets (Almus Pharmaceuticals Ltd)
'10400111000001101,Diazepam 2mg tablets (Arrow Generics Ltd)
'10400311000001104,Diazepam 2mg tablets (Arrow Generics Ltd)
'10400211000001107,Diazepam 2mg tablets (Arrow Generics Ltd)
'11019911000001105,Diazepam 2mg tablets (Dr Reddy's Laboratories (UK) Ltd)
'11020011000001107,Diazepam 2mg tablets (Dr Reddy's Laboratories (UK) Ltd)
'13577011000001103,Diazepam 2mg tablets (DE Pharmaceuticals)
'13577111000001102,Diazepam 2mg tablets (DE Pharmaceuticals)
'23861611000001108,Diazepam 2mg tablets (DE Pharmaceuticals)
'13937911000001108,Diazepam 2mg tablets (Wockhardt UK Ltd)
'16430911000001102,Diazepam 2mg tablets (Wockhardt UK Ltd)
'13938011000001105,Diazepam 2mg tablets (Wockhardt UK Ltd)
'15081411000001104,Diazepam 2mg tablets (Sigma Pharmaceuticals Plc)
'15081511000001100,Diazepam 2mg tablets (Sigma Pharmaceuticals Plc)
'17196711000001107,Diazepam 2mg tablets (Sovereign Medical Ltd)
'17196911000001109,Diazepam 2mg tablets (Sovereign Medical Ltd)
'17196811000001104,Diazepam 2mg tablets (Sovereign Medical Ltd)
'18107111000001104,Diazepam 2mg tablets (Phoenix Healthcare Distribution Ltd)
'23654011000001100,Diazepam 2mg tablets (Phoenix Healthcare Distribution Ltd)
'18107211000001105,Diazepam 2mg tablets (Phoenix Healthcare Distribution Ltd)
'21925411000001100,Diazepam 2mg tablets (Waymade Healthcare Plc)
'23591111000001102,Diazepam 2mg tablets (Waymade Healthcare Plc)
'21925511000001101,Diazepam 2mg tablets (Waymade Healthcare Plc)
'28922011000001107,Diazepam 2mg tablets (Crescent Pharma Ltd)
'28922111000001108,Diazepam 2mg tablets (Crescent Pharma Ltd)
'30021611000001103,Diazepam 2mg tablets (Mawdsley-Brooks & Company Ltd)
'30021911000001109,Diazepam 2mg tablets (Mawdsley-Brooks & Company Ltd)
'321127001,Nitrazepam 5mg tablets
'1004511000001101,Nitrazepam 5mg tablets
'1021511000001107,Nitrazepam 5mg tablets
'1314411000001101,Nitrazepam 5mg tablets
'116211000001104,Nitrazepam 5mg tablets (A A H Pharmaceuticals Ltd)
'1442511000001105,Nitrazepam 5mg tablets (A A H Pharmaceuticals Ltd)
'1443111000001107,Nitrazepam 5mg tablets (A A H Pharmaceuticals Ltd)
'380111000001104,Nitrazepam 5mg tablets (Actavis UK Ltd)
'1443311000001109,Nitrazepam 5mg tablets (Actavis UK Ltd)
'199211000001107,Nitrazepam 5mg tablets (Teva UK Ltd)
'1443711000001108,Nitrazepam 5mg tablets (Teva UK Ltd)
'418911000001108,Nitrazepam 5mg tablets (Wockhardt UK Ltd)
'1444911000001107,Nitrazepam 5mg tablets (Wockhardt UK Ltd)
'499911000001104,Nitrazepam 5mg tablets (Kent Pharmaceuticals Ltd)
'1445411000001103,Nitrazepam 5mg tablets (Kent Pharmaceuticals Ltd)
'1448311000001101,Nitrazepam 5mg tablets (Kent Pharmaceuticals Ltd)
'120111000001101,Nitrazepam 5mg tablets (Ranbaxy (UK) Ltd)
'1449211000001104,Nitrazepam 5mg tablets (Ranbaxy (UK) Ltd)
'1448711000001102,Nitrazepam 5mg tablets (Ranbaxy (UK) Ltd)
'811211000001104,Nitrazepam 5mg tablets (Sussex Pharmaceutical Ltd)
'1449611000001102,Nitrazepam 5mg tablets (Sussex Pharmaceutical Ltd)
'1449811000001103,Nitrazepam 5mg tablets (Sussex Pharmaceutical Ltd)
'479011000001105,Nitrazepam 5mg tablets (Alliance Healthcare (Distribution) Ltd)
'1451411000001104,Nitrazepam 5mg tablets (Alliance Healthcare (Distribution) Ltd)
'1451811000001102,Nitrazepam 5mg tablets (Alliance Healthcare (Distribution) Ltd)
'156511000001108,Nitrazepam 5mg tablets (Mylan)
'1452411000001109,Nitrazepam 5mg tablets (Mylan)
'148911000001104,Nitrazepam 5mg tablets (IVAX Pharmaceuticals UK Ltd)
'1453411000001100,Nitrazepam 5mg tablets (IVAX Pharmaceuticals UK Ltd)
'514911000001107,Mogadon 5mg tablets (Meda Pharmaceuticals Ltd)
'1630811000001109,Mogadon 5mg tablets (Meda Pharmaceuticals Ltd)
'9799011000001102,Nitrazepam 5mg tablets (Almus Pharmaceuticals Ltd)
'9799111000001101,Nitrazepam 5mg tablets (Almus Pharmaceuticals Ltd)
'10397811000001102,Nitrazepam 5mg tablets (Arrow Generics Ltd)
'10398011000001109,Nitrazepam 5mg tablets (Arrow Generics Ltd)
'17946511000001105,Nitrazepam 5mg tablets (Phoenix Healthcare Distribution Ltd)
'17946611000001109,Nitrazepam 5mg tablets (Phoenix Healthcare Distribution Ltd)
'20480211000001105,Nitrazepam 5mg tablets (Pharmvit Ltd)
'20480311000001102,Nitrazepam 5mg tablets (Pharmvit Ltd)
'21820311000001105,Nitrazepam 5mg tablets (Waymade Healthcare Plc)
'21820411000001103,Nitrazepam 5mg tablets (Waymade Healthcare Plc)
'21820611000001100,Nitrazepam 5mg tablets (Waymade Healthcare Plc)
'22600411000001102,Nitrazepam 5mg tablets (Chanelle Medical UK Ltd)
'22600511000001103,Nitrazepam 5mg tablets (Chanelle Medical UK Ltd)
'29929511000001106,Nitrazepam 5mg tablets (Sigma Pharmaceuticals Plc)
'29929611000001105,Nitrazepam 5mg tablets (Sigma Pharmaceuticals Plc)
'29929711000001101,Nitrazepam 5mg tablets (Sigma Pharmaceuticals Plc)
'30064511000001107,Nitrazepam 5mg tablets (DE Pharmaceuticals)
'30064611000001106,Nitrazepam 5mg tablets (DE Pharmaceuticals)
'30064711000001102,Nitrazepam 5mg tablets (DE Pharmaceuticals)
'30850911000001102,Nitrazepam 5mg tablets (Mawdsley-Brooks & Company Ltd)
'30851011000001105,Nitrazepam 5mg tablets (Mawdsley-Brooks & Company Ltd)
'30851111000001106,Nitrazepam 5mg tablets (Mawdsley-Brooks & Company Ltd)
'35842911000001105,Nitrazepam 5mg tablets (Intrapharm Laboratories Ltd)
'35843011000001102,Nitrazepam 5mg tablets (Intrapharm Laboratories Ltd)
'35995611000001105,Nitrazepam 5mg tablets (Ennogen Pharma Ltd)
'35995711000001101,Nitrazepam 5mg tablets (Ennogen Pharma Ltd)
'321152004,Temazepam 10mg tablets
'1178811000001105,Temazepam 10mg tablets
'1259211000001103,Temazepam 10mg tablets
'989211000001109,Temazepam 10mg tablets
'245211000001103,Temazepam 10mg tablets (A A H Pharmaceuticals Ltd)
'1520511000001102,Temazepam 10mg tablets (A A H Pharmaceuticals Ltd)
'1520611000001103,Temazepam 10mg tablets (A A H Pharmaceuticals Ltd)
'1520711000001107,Temazepam 10mg tablets (A A H Pharmaceuticals Ltd)
'652111000001102,Temazepam 10mg tablets (Actavis UK Ltd)
'3959911000001103,Temazepam 10mg tablets (Actavis UK Ltd)
'1520811000001104,Temazepam 10mg tablets (Actavis UK Ltd)
'152611000001106,Temazepam 10mg tablets (Teva UK Ltd)
'1520911000001109,Temazepam 10mg tablets (Teva UK Ltd)
'10650211000001104,Temazepam 10mg tablets (Teva UK Ltd)
'938611000001107,Temazepam 10mg tablets (Mylan)
'15022811000001104,Temazepam 10mg tablets (Mylan)
'1521011000001101,Temazepam 10mg tablets (Mylan)
'209411000001106,Temazepam 10mg tablets (Genus Pharmaceuticals Ltd)
'1521111000001100,Temazepam 10mg tablets (Genus Pharmaceuticals Ltd)
'104711000001104,Temazepam 10mg tablets (IVAX Pharmaceuticals UK Ltd)
'1521311000001103,Temazepam 10mg tablets (IVAX Pharmaceuticals UK Ltd)
'1521611000001108,Temazepam 10mg tablets (IVAX Pharmaceuticals UK Ltd)
'614111000001102,Temazepam 10mg tablets (Kent Pharmaceuticals Ltd)
'4743911000001105,Temazepam 10mg tablets (Kent Pharmaceuticals Ltd)
'1521811000001107,Temazepam 10mg tablets (Kent Pharmaceuticals Ltd)
'635511000001101,Temazepam 10mg tablets (Sandoz Ltd)
'1522111000001105,Temazepam 10mg tablets (Sandoz Ltd)
'1522411000001100,Temazepam 10mg tablets (Sandoz Ltd)
'776711000001107,Temazepam 10mg tablets (Alliance Healthcare (Distribution) Ltd)
'1522711000001106,Temazepam 10mg tablets (Alliance Healthcare (Distribution) Ltd)
'1522911000001108,Temazepam 10mg tablets (Alliance Healthcare (Distribution) Ltd)
'15228611000001107,Temazepam 10mg tablets (Sigma Pharmaceuticals Plc)
'15228711000001103,Temazepam 10mg tablets (Sigma Pharmaceuticals Plc)
'17811711000001108,Temazepam 10mg tablets (Phoenix Healthcare Distribution Ltd)
'17812011000001103,Temazepam 10mg tablets (Phoenix Healthcare Distribution Ltd)
'17812311000001100,Temazepam 10mg tablets (Phoenix Healthcare Distribution Ltd)
'21772111000001105,Temazepam 10mg tablets (Mawdsley-Brooks & Company Ltd)
'21772211000001104,Temazepam 10mg tablets (Mawdsley-Brooks & Company Ltd)
'21806411000001107,Temazepam 10mg tablets (Mawdsley-Brooks & Company Ltd)
'21785211000001103,Temazepam 10mg tablets (Waymade Healthcare Plc)
'21785311000001106,Temazepam 10mg tablets (Waymade Healthcare Plc)
'21785411000001104,Temazepam 10mg tablets (Waymade Healthcare Plc)
'21788811000001106,Temazepam 10mg tablets (DE Pharmaceuticals)
'21789011000001105,Temazepam 10mg tablets (DE Pharmaceuticals)
'21789111000001106,Temazepam 10mg tablets (DE Pharmaceuticals)
'21790611000001108,Temazepam 10mg tablets (Ethigen Ltd)
'21790711000001104,Temazepam 10mg tablets (Ethigen Ltd)
'21790911000001102,Temazepam 10mg tablets (Ethigen Ltd)
'21855811000001106,Temazepam 10mg tablets (Cavendish Pharmaceuticals Ltd)
'21855911000001101,Temazepam 10mg tablets (Cavendish Pharmaceuticals Ltd)
'21856011000001109,Temazepam 10mg tablets (Cavendish Pharmaceuticals Ltd)
'21905311000001100,Temazepam 10mg tablets (National Generics)
'21905411000001107,Temazepam 10mg tablets (National Generics)
'21905511000001106,Temazepam 10mg tablets (National Generics)
'22066511000001107,Temazepam 10mg tablets (F.Maltby & Sons Ltd)
'22066611000001106,Temazepam 10mg tablets (F.Maltby & Sons Ltd)
'22066711000001102,Temazepam 10mg tablets (F.Maltby & Sons Ltd)
'22067111000001100,Temazepam 10mg tablets (B&S Healthcare Ltd)
'22067211000001106,Temazepam 10mg tablets (B&S Healthcare Ltd)
'22067311000001103,Temazepam 10mg tablets (B&S Healthcare Ltd)
'22067711000001104,Temazepam 10mg tablets (Norchem Ltd)
'22067811000001107,Temazepam 10mg tablets (Norchem Ltd)
'22067911000001102,Temazepam 10mg tablets (Norchem Ltd)
'25605411000001107,Temazepam 10mg tablets (Colorama Pharmaceuticals Ltd)
'25605511000001106,Temazepam 10mg tablets (Colorama Pharmaceuticals Ltd)
'25605611000001105,Temazepam 10mg tablets (Colorama Pharmaceuticals Ltd)
'34954011000001103,Temazepam 10mg tablets (Almus Pharmaceuticals Ltd)
'34954111000001102,Temazepam 10mg tablets (Almus Pharmaceuticals Ltd)
