SNOMEDCode,description
'1474511000001101,Co-amoxiclav 250mg/125mg tablets (Zentiva)
'101911000001100,Co-amoxiclav 250mg/125mg tablets (Alliance Healthcare (Distribution) Ltd)
'1474611000001102,Co-amoxiclav 250mg/125mg tablets (Alliance Healthcare (Distribution) Ltd)
'1474711000001106,Co-amoxiclav 250mg/125mg tablets (Alliance Healthcare (Distribution) Ltd)
'5522111000001109,Augmentin 375mg tablets (Dowelhurst Ltd)
'5522311000001106,Augmentin 375mg tablets (Dowelhurst Ltd)
'9786711000001109,Co-amoxiclav 250mg/125mg tablets (Almus Pharmaceuticals Ltd)
'9786811000001101,Co-amoxiclav 250mg/125mg tablets (Almus Pharmaceuticals Ltd)
'10397411000001104,Co-amoxiclav 250mg/125mg tablets (Arrow Generics Ltd)
'10397511000001100,Co-amoxiclav 250mg/125mg tablets (Arrow Generics Ltd)
'10397611000001101,Co-amoxiclav 250mg/125mg tablets (Arrow Generics Ltd)
'14946411000001104,Augmentin 375mg tablets (Waymade Healthcare Plc)
'14946511000001100,Augmentin 375mg tablets (Waymade Healthcare Plc)
'17493911000001104,Augmentin 375mg tablets (Mawdsley-Brooks & Company Ltd)
'17494111000001100,Augmentin 375mg tablets (Mawdsley-Brooks & Company Ltd)
'17885811000001104,Co-amoxiclav 250mg/125mg tablets (Phoenix Healthcare Distribution Ltd)
'17885911000001109,Co-amoxiclav 250mg/125mg tablets (Phoenix Healthcare Distribution Ltd)
'18051111000001107,Augmentin 375mg tablets (Lexon (UK) Ltd)
'18051211000001101,Augmentin 375mg tablets (Lexon (UK) Ltd)
'18545611000001101,Augmentin 375mg tablets (DE Pharmaceuticals)
'18545711000001105,Augmentin 375mg tablets (DE Pharmaceuticals)
'19833711000001107,Co-amoxiclav 250mg/125mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)
'19833811000001104,Co-amoxiclav 250mg/125mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)
'22009111000001105,Co-amoxiclav 250mg/125mg tablets (Waymade Healthcare Plc)
'22009211000001104,Co-amoxiclav 250mg/125mg tablets (Waymade Healthcare Plc)
'22009511000001101,Co-amoxiclav 250mg/125mg tablets (Waymade Healthcare Plc)
'23827411000001108,Co-amoxiclav 250mg/125mg tablets (DE Pharmaceuticals)
'23827611000001106,Co-amoxiclav 250mg/125mg tablets (DE Pharmaceuticals)
'29794911000001102,Co-amoxiclav 250mg/125mg tablets (Sigma Pharmaceuticals Plc)
'29795011000001102,Co-amoxiclav 250mg/125mg tablets (Sigma Pharmaceuticals Plc)
'30016311000001106,Co-amoxiclav 250mg/125mg tablets (Mawdsley-Brooks & Company Ltd)
'30016411000001104,Co-amoxiclav 250mg/125mg tablets (Mawdsley-Brooks & Company Ltd)
'32397711000001104,Co-amoxiclav 250mg/125mg tablets (Brown & Burk UK Ltd)
'32397911000001102,Co-amoxiclav 250mg/125mg tablets (Brown & Burk UK Ltd)
'34962611000001109,Co-amoxiclav 250mg/125mg tablets (Bristol Laboratories Ltd)
'34962711000001100,Co-amoxiclav 250mg/125mg tablets (Bristol Laboratories Ltd)
'35563511000001103,Co-amoxiclav 250mg/125mg tablets (Rivopharm (UK) Ltd)
'35563611000001104,Co-amoxiclav 250mg/125mg tablets (Rivopharm (UK) Ltd)
'35907111000001109,Co-amoxiclav 250mg/125mg tablets (Consilient Health Ltd)
'35907211000001103,Co-amoxiclav 250mg/125mg tablets (Consilient Health Ltd)
'36868011000001101,Co-amoxiclav 250mg/125mg tablets (Torrent Pharma (UK) Ltd)
'36868111000001100,Co-amoxiclav 250mg/125mg tablets (Torrent Pharma (UK) Ltd)
'36565811000001104,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
'1019711000001109,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
'829311000001103,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)
'1476711000001102,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)
'894611000001101,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Teva UK Ltd)
'1476911000001100,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Teva UK Ltd)
'618111000001108,Ranclav 125mg/31mg/5ml SF oral suspension (Ranbaxy (UK) Ltd)
'1477211000001106,Ranclav 125mg/31mg/5ml SF oral suspension (Ranbaxy (UK) Ltd)
'575411000001109,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd)
'1477511000001109,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd)
'276811000001106,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Kent Pharmaceuticals Ltd)
'1477711000001104,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Kent Pharmaceuticals Ltd)
'193411000001109,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Ranbaxy (UK) Ltd)
'1477811000001107,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Ranbaxy (UK) Ltd)
'932211000001108,Augmentin 125/31 SF oral suspension (GlaxoSmithKline UK Ltd)
'1478011000001100,Augmentin 125/31 SF oral suspension (GlaxoSmithKline UK Ltd)
'370711000001105,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)
'1478111000001104,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)
'4817111000001106,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Mylan)
'4817211000001100,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Mylan)
'6032711000001109,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Sandoz Ltd)
'6067511000001107,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Sandoz Ltd)
'9787711000001107,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Almus Pharmaceuticals Ltd)
'9787811000001104,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Almus Pharmaceuticals Ltd)
'15515811000001104,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Actavis UK Ltd)
'15515911000001109,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Actavis UK Ltd)
'17885411000001101,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd)
'17885511000001102,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd)
'18487711000001101,Augmentin 125/31 SF oral suspension (Waymade Healthcare Plc)
'18487811000001109,Augmentin 125/31 SF oral suspension (Waymade Healthcare Plc)
'18892611000001100,Augmentin 125/31 SF oral suspension (Mawdsley-Brooks & Company Ltd)
'18893011000001103,Augmentin 125/31 SF oral suspension (Mawdsley-Brooks & Company Ltd)
'22007211000001105,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Waymade Healthcare Plc)
'22007311000001102,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Waymade Healthcare Plc)
'22602311000001108,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Colorama Pharmaceuticals Ltd)
'22602411000001101,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Colorama Pharmaceuticals Ltd)
'323509004,Amoxicillin 250mg capsules
'1225311000001108,Amoxicillin 250mg capsules
'1129211000001100,Amoxicillin 250mg capsules
'1200411000001101,Amoxicillin 250mg capsules
'1317011000001102,Amoxicillin 250mg capsules
'1227911000001104,Amoxicillin 250mg capsules
'558111000001107,Amoxicillin 250mg capsules (A A H Pharmaceuticals Ltd)
'1474911000001108,Amoxicillin 250mg capsules (A A H Pharmaceuticals Ltd)
'1474811000001103,Amoxicillin 250mg capsules (A A H Pharmaceuticals Ltd)
'12877711000001108,Amoxicillin 250mg capsules (A A H Pharmaceuticals Ltd)
'739011000001101,Amoxicillin 250mg capsules (Actavis UK Ltd)
'1475011000001108,Amoxicillin 250mg capsules (Actavis UK Ltd)
'361711000001108,Amoxicillin 250mg capsules (Teva UK Ltd)
'1475111000001109,Amoxicillin 250mg capsules (Teva UK Ltd)
'644811000001100,Amix 250 capsules (Ashbourne Pharmaceuticals Ltd)
'1475311000001106,Amix 250 capsules (Ashbourne Pharmaceuticals Ltd)
'1475211000001103,Amix 250 capsules (Ashbourne Pharmaceuticals Ltd)
'500511000001107,Amoram 250mg capsules (LPC Medical (UK) Ltd)
'1487011000001106,Amoram 250mg capsules (LPC Medical (UK) Ltd)
'2011000001104,Galenamox 250mg capsules (Galen Ltd)
'1487111000001107,Galenamox 250mg capsules (Galen Ltd)
'413911000001103,Amoxicillin 250mg capsules (Mylan)
'1487311000001109,Amoxicillin 250mg capsules (Mylan)
'1487211000001101,Amoxicillin 250mg capsules (Mylan)
'388611000001105,Amoxil 250mg capsules (GlaxoSmithKline UK Ltd)
'1487511000001103,Amoxil 250mg capsules (GlaxoSmithKline UK Ltd)
'1487411000001102,Amoxil 250mg capsules (GlaxoSmithKline UK Ltd)
'325811000001107,Amoxicillin 250mg capsules (IVAX Pharmaceuticals UK Ltd)
'1487711000001108,Amoxicillin 250mg capsules (IVAX Pharmaceuticals UK Ltd)
'833211000001107,Amoxicillin 250mg capsules (Kent Pharmaceuticals Ltd)
'1488111000001108,Amoxicillin 250mg capsules (Kent Pharmaceuticals Ltd)
'1488011000001107,Amoxicillin 250mg capsules (Kent Pharmaceuticals Ltd)
'10741411000001103,Amoxicillin 250mg capsules (Kent Pharmaceuticals Ltd)
'2256711000001101,Amoxicillin 250mg capsules (Kent Pharmaceuticals Ltd)
'161011000001103,Respillin 250mg capsules (Kent Pharmaceuticals Ltd)
'1488311000001105,Respillin 250mg capsules (Kent Pharmaceuticals Ltd)
'458811000001108,Amoxicillin 250mg capsules (Ranbaxy (UK) Ltd)
'1488511000001104,Amoxicillin 250mg capsules (Ranbaxy (UK) Ltd)
'1488411000001103,Amoxicillin 250mg capsules (Ranbaxy (UK) Ltd)
'145611000001104,Amoxicillin 250mg capsules (Alliance Healthcare (Distribution) Ltd)
'1488811000001101,Amoxicillin 250mg capsules (Alliance Healthcare (Distribution) Ltd)
'1488611000001100,Amoxicillin 250mg capsules (Alliance Healthcare (Distribution) Ltd)
'20969811000001102,Amoxicillin 250mg capsules (Alliance Healthcare (Distribution) Ltd)
'228311000001104,Amoxicillin 250mg capsules (Sandoz Ltd)
'1598111000001104,Amoxicillin 250mg capsules (Sandoz Ltd)
'7339611000001107,Amoxident 250 capsules (Britannia Pharmaceuticals Ltd)
'7339711000001103,Amoxident 250 capsules (Britannia Pharmaceuticals Ltd)
'9785311000001100,Amoxicillin 250mg capsules (Almus Pharmaceuticals Ltd)
'9785511000001106,Amoxicillin 250mg capsules (Almus Pharmaceuticals Ltd)
'9785411000001107,Amoxicillin 250mg capsules (Almus Pharmaceuticals Ltd)
'28002211000001100,Amoxicillin 250mg capsules (Almus Pharmaceuticals Ltd)
'10380511000001103,Amoxicillin 250mg capsules (Arrow Generics Ltd)
'10381011000001102,Amoxicillin 250mg capsules (Arrow Generics Ltd)
'10380711000001108,Amoxicillin 250mg capsules (Arrow Generics Ltd)
'12948011000001101,Amoxicillin 250mg capsules (Boston Healthcare Ltd)
'12948111000001100,Amoxicillin 250mg capsules (Boston Healthcare Ltd)
'13110911000001100,Amoxicillin 250mg capsules (Dowelhurst Ltd)
'13111211000001103,Amoxicillin 250mg capsules (Dowelhurst Ltd)
'13111111000001109,Amoxicillin 250mg capsules (Dowelhurst Ltd)
'15981611000001108,Amoxicillin 250mg capsules (Bristol Laboratories Ltd)
'15981811000001107,Amoxicillin 250mg capsules (Bristol Laboratories Ltd)
'18556711000001100,Amoxicillin 250mg capsules (Bristol Laboratories Ltd)
'15981711000001104,Amoxicillin 250mg capsules (Bristol Laboratories Ltd)
'17779911000001102,Amoxicillin 250mg capsules (Phoenix Healthcare Distribution Ltd)
'18082811000001101,Amoxicillin 250mg capsules (Phoenix Healthcare Distribution Ltd)
'17780211000001106,Amoxicillin 250mg capsules (Phoenix Healthcare Distribution Ltd)
'18145411000001107,Amoxicillin 250mg capsules (Wockhardt UK Ltd)
'18383211000001109,Amoxicillin 250mg capsules (Wockhardt UK Ltd)
'18145511000001106,Amoxicillin 250mg capsules (Wockhardt UK Ltd)
'19187411000001106,Amoxicillin 250mg capsules (Milpharm Ltd)
'19187511000001105,Amoxicillin 250mg capsules (Milpharm Ltd)
'19725711000001109,Amoxicillin 250mg capsules (Medreich Plc)
'19725911000001106,Amoxicillin 250mg capsules (Medreich Plc)
'19725811000001101,Amoxicillin 250mg capsules (Medreich Plc)
'21764811000001100,Amoxicillin 250mg capsules (Waymade Healthcare Plc)
'21765511000001102,Amoxicillin 250mg capsules (Waymade Healthcare Plc)
'21765211000001100,Amoxicillin 250mg capsules (Waymade Healthcare Plc)
'21765011000001105,Amoxicillin 250mg capsules (Waymade Healthcare Plc)
'22608411000001104,Amoxicillin 250mg capsules (DE Pharmaceuticals)
'22608711000001105,Amoxicillin 250mg capsules (DE Pharmaceuticals)
'22608611000001101,Amoxicillin 250mg capsules (DE Pharmaceuticals)
'22608511000001100,Amoxicillin 250mg capsules (DE Pharmaceuticals)
'23477711000001105,Amoxicillin 250mg capsules (Accord Healthcare Ltd)
'23477911000001107,Amoxicillin 250mg capsules (Accord Healthcare Ltd)
'29765011000001104,Amoxicillin 250mg capsules (Sigma Pharmaceuticals Plc)
'29765111000001103,Amoxicillin 250mg capsules (Sigma Pharmaceuticals Plc)
'29993011000001108,Amoxicillin 250mg capsules (Mawdsley-Brooks & Company Ltd)
'29993111000001109,Amoxicillin 250mg capsules (Mawdsley-Brooks & Company Ltd)
'33680711000001103,Amoxicillin 250mg capsules (Brown & Burk UK Ltd)
'33680811000001106,Amoxicillin 250mg capsules (Brown & Burk UK Ltd)
'35591111000001108,Amoxicillin 250mg capsules (RX Farma)
'35591311000001105,Amoxicillin 250mg capsules (RX Farma)
'35591211000001102,Amoxicillin 250mg capsules (RX Farma)
'323510009,Amoxicillin 500mg capsules
'1037711000001109,Amoxicillin 500mg capsules
'1049611000001109,Amoxicillin 500mg capsules
'1158511000001109,Amoxicillin 500mg capsules
'5334111000001101,Amoxicillin 500mg capsules
'10741811000001101,Amoxicillin 500mg capsules
'15415411000001108,Amoxicillin 500mg capsules
'930411000001106,Amoxicillin 500mg capsules (A A H Pharmaceuticals Ltd)
'1477111000001100,Amoxicillin 500mg capsules (A A H Pharmaceuticals Ltd)
'1477411000001105,Amoxicillin 500mg capsules (A A H Pharmaceuticals Ltd)
'12877811000001100,Amoxicillin 500mg capsules (A A H Pharmaceuticals Ltd)
'406811000001101,Amoxicillin 500mg capsules (Actavis UK Ltd)
'1477611000001108,Amoxicillin 500mg capsules (Actavis UK Ltd)
'668411000001104,Amoxicillin 500mg capsules (Teva UK Ltd)
'1477911000001102,Amoxicillin 500mg capsules (Teva UK Ltd)
'121011000001106,Amix 500 capsules (Ashbourne Pharmaceuticals Ltd)
'1478211000001105,Amix 500 capsules (Ashbourne Pharmaceuticals Ltd)
'19211000001104,Amoram 500mg capsules (LPC Medical (UK) Ltd)
'1488211000001102,Amoram 500mg capsules (LPC Medical (UK) Ltd)
'130111000001103,Galenamox 500mg capsules (Galen Ltd)
'1490111000001107,Galenamox 500mg capsules (Galen Ltd)
'816511000001105,Amoxicillin 500mg capsules (Mylan)
'1490511000001103,Amoxicillin 500mg capsules (Mylan)
'1490811000001100,Amoxicillin 500mg capsules (Mylan)
'709311000001106,Amoxil 500mg capsules (GlaxoSmithKline UK Ltd)
'1491011000001102,Amoxil 500mg capsules (GlaxoSmithKline UK Ltd)
'1491211000001107,Amoxil 500mg capsules (GlaxoSmithKline UK Ltd)
'802011000001104,Amoxicillin 500mg capsules (IVAX Pharmaceuticals UK Ltd)
'1491511000001105,Amoxicillin 500mg capsules (IVAX Pharmaceuticals UK Ltd)
'1491611000001109,Amoxicillin 500mg capsules (IVAX Pharmaceuticals UK Ltd)
'13811000001100,Amoxicillin 500mg capsules (Kent Pharmaceuticals Ltd)
'1492211000001100,Amoxicillin 500mg capsules (Kent Pharmaceuticals Ltd)
'1492511000001102,Amoxicillin 500mg capsules (Kent Pharmaceuticals Ltd)
'10741911000001106,Amoxicillin 500mg capsules (Kent Pharmaceuticals Ltd)
'14811000001102,Respillin 500mg capsules (Kent Pharmaceuticals Ltd)
'1492811000001104,Respillin 500mg capsules (Kent Pharmaceuticals Ltd)
'181511000001108,Amoxicillin 500mg capsules (Ranbaxy (UK) Ltd)
'1493411000001105,Amoxicillin 500mg capsules (Ranbaxy (UK) Ltd)
'1493611000001108,Amoxicillin 500mg capsules (Ranbaxy (UK) Ltd)
