SNOMEDCode,description,bnf_chapter
'843311000001103,Azathioprine 50mg tablets (Mylan),802010
'2020011000001109,Azathioprine 50mg tablets (Mylan),802010
'2020111000001105,Azathioprine 50mg tablets (Mylan),802010
'675711000001108,Imuran 50mg tablets (Aspen Pharma Trading Ltd),802010
'2020211000001104,Imuran 50mg tablets (Aspen Pharma Trading Ltd),802010
'178511000001107,Azathioprine 50mg tablets (IVAX Pharmaceuticals UK Ltd),802010
'2024111000001101,Azathioprine 50mg tablets (IVAX Pharmaceuticals UK Ltd),802010
'2024311000001104,Azathioprine 50mg tablets (IVAX Pharmaceuticals UK Ltd),802010
'863111000001105,Azathioprine 50mg tablets (Kent Pharmaceuticals Ltd),802010
'2024811000001108,Azathioprine 50mg tablets (Kent Pharmaceuticals Ltd),802010
'11381611000001101,Azathioprine 50mg tablets (Kent Pharmaceuticals Ltd),802010
'428011000001101,Azathioprine 50mg tablets (Sandoz Ltd),802010
'2025311000001100,Azathioprine 50mg tablets (Sandoz Ltd),802010
'29907211000001109,Azathioprine 50mg tablets (Sandoz Ltd),802010
'888811000001106,Azathioprine 50mg tablets (Alliance Healthcare (Distribution) Ltd),802010
'2025811000001109,Azathioprine 50mg tablets (Alliance Healthcare (Distribution) Ltd),802010
'2026111000001108,Azathioprine 50mg tablets (Alliance Healthcare (Distribution) Ltd),802010
'5494911000001104,Azathioprine 50mg tablets (Dowelhurst Ltd),
'13179511000001109,Azathioprine 50mg tablets (Dowelhurst Ltd),
'5495111000001103,Azathioprine 50mg tablets (Dowelhurst Ltd),
'5495211000001109,Azathioprine 50mg tablets (Dowelhurst Ltd),
'5552411000001103,Imuran 50mg tablets (Dowelhurst Ltd),
'5552611000001100,Imuran 50mg tablets (Dowelhurst Ltd),
'5552511000001104,Imuran 50mg tablets (Dowelhurst Ltd),
'10288111000001102,Azathioprine 50mg tablets (Focus Pharmaceuticals Ltd),802010
'10288311000001100,Azathioprine 50mg tablets (Focus Pharmaceuticals Ltd),802010
'13386711000001105,Azathioprine 50mg tablets (Arrow Generics Ltd),802010
'13387011000001106,Azathioprine 50mg tablets (Arrow Generics Ltd),802010
'13386911000001107,Azathioprine 50mg tablets (Arrow Generics Ltd),802010
'13740911000001103,Azathioprine 50mg tablets (Tillomed Laboratories Ltd),802010
'13741011000001106,Azathioprine 50mg tablets (Tillomed Laboratories Ltd),802010
'15070611000001100,Azathioprine 50mg tablets (Sigma Pharmaceuticals Plc),802010
'15070711000001109,Azathioprine 50mg tablets (Sigma Pharmaceuticals Plc),802010
'29773411000001100,Azathioprine 50mg tablets (Sigma Pharmaceuticals Plc),802010
'17790011000001100,Azathioprine 50mg tablets (Phoenix Healthcare Distribution Ltd),802010
'17790311000001102,Azathioprine 50mg tablets (Phoenix Healthcare Distribution Ltd),802010
'17790411000001109,Azathioprine 50mg tablets (Phoenix Healthcare Distribution Ltd),802010
'18280311000001100,Azathioprine 50mg tablets (Strides Pharma UK Ltd),802010
'18280411000001107,Azathioprine 50mg tablets (Strides Pharma UK Ltd),802010
'18280511000001106,Azathioprine 50mg tablets (Strides Pharma UK Ltd),802010
'18497511000001105,Azathioprine 50mg tablets (Almus Pharmaceuticals Ltd),802010
'18497611000001109,Azathioprine 50mg tablets (Almus Pharmaceuticals Ltd),802010
'21780711000001100,Azathioprine 50mg tablets (Waymade Healthcare Plc),802010
'21780811000001108,Azathioprine 50mg tablets (Waymade Healthcare Plc),802010
'21780911000001103,Azathioprine 50mg tablets (Waymade Healthcare Plc),802010
'22615211000001108,Azathioprine 50mg tablets (DE Pharmaceuticals),802010
'22615411000001107,Azathioprine 50mg tablets (DE Pharmaceuticals),802010
'22615511000001106,Azathioprine 50mg tablets (DE Pharmaceuticals),802010
'26658011000001100,Azapress 50mg tablets (Ennogen Pharma Ltd),802010
'26658211000001105,Azapress 50mg tablets (Ennogen Pharma Ltd),802010
'27990111000001105,Azathioprine 50mg tablets (Ennogen Healthcare Ltd),802010
'27990211000001104,Azathioprine 50mg tablets (Ennogen Healthcare Ltd),802010
'29998111000001100,Azathioprine 50mg tablets (Mawdsley-Brooks & Company Ltd),802010
'29998211000001106,Azathioprine 50mg tablets (Mawdsley-Brooks & Company Ltd),802010
'36105511000001109,Azathioprine 50mg tablets (Ennogen Pharma Ltd),802010
'36105611000001108,Azathioprine 50mg tablets (Ennogen Pharma Ltd),802010
'327090002,Ciclosporin 10mg capsules,802020
'1134411000001102,Ciclosporin 10mg capsules,802020
'5365211000001102,Ciclosporin 10mg capsules,802020
'303511000001103,Neoral 10mg capsules (Novartis Pharmaceuticals UK Ltd),802020
'2354511000001108,Neoral 10mg capsules (Novartis Pharmaceuticals UK Ltd),802020
'5365411000001103,Neoral 10mg capsules (Novartis Pharmaceuticals UK Ltd),802020
'29934611000001109,Vanquoral 10mg capsules (Teva UK Ltd),802020
'30737011000001104,Vanquoral 10mg capsules (Teva UK Ltd),802020
'29935211000001108,Vanquoral 10mg capsules (Teva UK Ltd),802020
'327082002,Ciclosporin 25mg capsules,802020
'1169111000001103,Ciclosporin 25mg capsules,802020
'5572011000001109,Ciclosporin 25mg capsules,802020
'347811000001104,Sandimmun 25mg capsules (Novartis Pharmaceuticals UK Ltd),802020
'2354611000001107,Sandimmun 25mg capsules (Novartis Pharmaceuticals UK Ltd),802020
'660811000001100,Neoral 25mg capsules (Novartis Pharmaceuticals UK Ltd),802020
'2354711000001103,Neoral 25mg capsules (Novartis Pharmaceuticals UK Ltd),802020
'5393711000001105,Neoral 25mg capsules (Waymade Healthcare Plc),
'5394011000001105,Neoral 25mg capsules (Waymade Healthcare Plc),
'21694311000001102,Neoral 25mg capsules (Waymade Healthcare Plc),
'5572411000001100,Neoral 25mg capsules (Dowelhurst Ltd),
'5572811000001103,Neoral 25mg capsules (Dowelhurst Ltd),
'5572611000001102,Neoral 25mg capsules (Dowelhurst Ltd),
'14345511000001102,Neoral 25mg capsules (Sigma Pharmaceuticals Plc),
'14345711000001107,Neoral 25mg capsules (Sigma Pharmaceuticals Plc),
'16306511000001107,Deximune 25mg capsules (Dexcel-Pharma Ltd),802020
'16306611000001106,Deximune 25mg capsules (Dexcel-Pharma Ltd),802020
'16550511000001102,Ciclosporin 25mg capsules (A A H Pharmaceuticals Ltd),802020
'16550611000001103,Ciclosporin 25mg capsules (A A H Pharmaceuticals Ltd),802020
'16561911000001109,Neoral 25mg capsules (Mawdsley-Brooks & Company Ltd),
'16562111000001101,Neoral 25mg capsules (Mawdsley-Brooks & Company Ltd),
'17666911000001105,Capimune 25mg capsules (Mylan),802020
'17667011000001109,Capimune 25mg capsules (Mylan),802020
'17856611000001101,Ciclosporin 25mg capsules (Phoenix Healthcare Distribution Ltd),802020
'17856711000001105,Ciclosporin 25mg capsules (Phoenix Healthcare Distribution Ltd),802020
'19377311000001100,Capsorin 25mg capsules (Morningside Healthcare Ltd),802020
'19377411000001107,Capsorin 25mg capsules (Morningside Healthcare Ltd),802020
'19617911000001102,Neoral 25mg capsules (DE Pharmaceuticals),
'19618011000001100,Neoral 25mg capsules (DE Pharmaceuticals),
'21263111000001101,Ciclosporin 25mg capsules (Sigma Pharmaceuticals Plc),802020
'21263211000001107,Ciclosporin 25mg capsules (Sigma Pharmaceuticals Plc),802020
'21835711000001102,Ciclosporin 25mg capsules (Cubic Pharmaceuticals Ltd),802020
'21835811000001105,Ciclosporin 25mg capsules (Cubic Pharmaceuticals Ltd),802020
'22408311000001108,Ciclosporin 25mg capsules (DE Pharmaceuticals),802020
'22408411000001101,Ciclosporin 25mg capsules (DE Pharmaceuticals),802020
'22604211000001109,Ciclosporin 25mg capsules (Colorama Pharmaceuticals Ltd),802020
'22604311000001101,Ciclosporin 25mg capsules (Colorama Pharmaceuticals Ltd),802020
'23428411000001104,Ciclosporin 25mg capsules (J M McGill Ltd),802020
'23428511000001100,Ciclosporin 25mg capsules (J M McGill Ltd),802020
'23936511000001102,Ciclosporin 25mg capsules (Niche Pharma Ltd),802020
'23936811000001104,Ciclosporin 25mg capsules (Niche Pharma Ltd),802020
'24157711000001107,Ciclosporin 25mg capsules (Ethigen Ltd),802020
'24157811000001104,Ciclosporin 25mg capsules (Ethigen Ltd),802020
'24519911000001104,Ciclosporin 25mg capsules (Mawdsley-Brooks & Company Ltd),802020
'24520011000001102,Ciclosporin 25mg capsules (Mawdsley-Brooks & Company Ltd),802020
'25694011000001104,Ciclosporin 25mg capsules (Icarus Pharmaceuticals Ltd),802020
'25694211000001109,Ciclosporin 25mg capsules (Icarus Pharmaceuticals Ltd),802020
'26021211000001109,Ciclosporin 25mg capsules (Ennogen Healthcare Ltd),802020
'26021711000001102,Ciclosporin 25mg capsules (Ennogen Healthcare Ltd),802020
'28122711000001107,Ciclosporin 25mg capsules (Pharma-z Ltd),802020
'28122811000001104,Ciclosporin 25mg capsules (Pharma-z Ltd),802020
'28335911000001108,Vanquoral 25mg capsules (Teva UK Ltd),802020
'28336111000001104,Vanquoral 25mg capsules (Teva UK Ltd),802020
'327085000,Ciclosporin 50mg capsules,802020
'1327411000001104,Ciclosporin 50mg capsules,802020
'27728811000001103,Ciclosporin 50mg capsules,802020
'638611000001108,Sandimmun 50mg capsules (Novartis Pharmaceuticals UK Ltd),802020
'2354811000001106,Sandimmun 50mg capsules (Novartis Pharmaceuticals UK Ltd),802020
'319211000001101,Neoral 50mg capsules (Novartis Pharmaceuticals UK Ltd),802020
'2354911000001101,Neoral 50mg capsules (Novartis Pharmaceuticals UK Ltd),802020
'5394111000001106,Neoral 50mg capsules (Waymade Healthcare Plc),
'5394211000001100,Neoral 50mg capsules (Waymade Healthcare Plc),
'27728911000001108,Neoral 50mg capsules (Waymade Healthcare Plc),
'5574011000001103,Neoral 50mg capsules (Dowelhurst Ltd),
'5574111000001102,Neoral 50mg capsules (Dowelhurst Ltd),
'14346111000001100,Neoral 50mg capsules (Sigma Pharmaceuticals Plc),
'14346511000001109,Neoral 50mg capsules (Sigma Pharmaceuticals Plc),
'16306711000001102,Deximune 50mg capsules (Dexcel-Pharma Ltd),802020
'16306811000001105,Deximune 50mg capsules (Dexcel-Pharma Ltd),802020
'16550711000001107,Ciclosporin 50mg capsules (A A H Pharmaceuticals Ltd),802020
'16550811000001104,Ciclosporin 50mg capsules (A A H Pharmaceuticals Ltd),802020
'16562311000001104,Neoral 50mg capsules (Mawdsley-Brooks & Company Ltd),
'16562411000001106,Neoral 50mg capsules (Mawdsley-Brooks & Company Ltd),
'17593711000001106,Neoral 50mg capsules (Necessity Supplies Ltd),
'17594011000001106,Neoral 50mg capsules (Necessity Supplies Ltd),
'17665611000001109,Capimune 50mg capsules (Mylan),802020
'17665711000001100,Capimune 50mg capsules (Mylan),802020
'17856811000001102,Ciclosporin 50mg capsules (Phoenix Healthcare Distribution Ltd),802020
'17856911000001107,Ciclosporin 50mg capsules (Phoenix Healthcare Distribution Ltd),802020
'19377111000001102,Capsorin 50mg capsules (Morningside Healthcare Ltd),802020
'19377211000001108,Capsorin 50mg capsules (Morningside Healthcare Ltd),802020
'20164511000001102,Neoral 50mg capsules (DE Pharmaceuticals),
'20164611000001103,Neoral 50mg capsules (DE Pharmaceuticals),
'21263311000001104,Ciclosporin 50mg capsules (Sigma Pharmaceuticals Plc),802020
'21263411000001106,Ciclosporin 50mg capsules (Sigma Pharmaceuticals Plc),802020
'21835511000001107,Ciclosporin 50mg capsules (Cubic Pharmaceuticals Ltd),802020
'21835611000001106,Ciclosporin 50mg capsules (Cubic Pharmaceuticals Ltd),802020
'22408511000001102,Ciclosporin 50mg capsules (DE Pharmaceuticals),802020
'22408611000001103,Ciclosporin 50mg capsules (DE Pharmaceuticals),802020
'22604411000001108,Ciclosporin 50mg capsules (Colorama Pharmaceuticals Ltd),802020
'22604511000001107,Ciclosporin 50mg capsules (Colorama Pharmaceuticals Ltd),802020
'23428611000001101,Ciclosporin 50mg capsules (J M McGill Ltd),802020
'23428711000001105,Ciclosporin 50mg capsules (J M McGill Ltd),802020
'23936711000001107,Ciclosporin 50mg capsules (Niche Pharma Ltd),802020
'23936911000001109,Ciclosporin 50mg capsules (Niche Pharma Ltd),802020
'24157911000001109,Ciclosporin 50mg capsules (Ethigen Ltd),802020
'24158011000001106,Ciclosporin 50mg capsules (Ethigen Ltd),802020
'24520111000001101,Ciclosporin 50mg capsules (Mawdsley-Brooks & Company Ltd),802020
'24520211000001107,Ciclosporin 50mg capsules (Mawdsley-Brooks & Company Ltd),802020
'25694711000001102,Ciclosporin 50mg capsules (Icarus Pharmaceuticals Ltd),802020
'25694911000001100,Ciclosporin 50mg capsules (Icarus Pharmaceuticals Ltd),802020
'26022211000001102,Ciclosporin 50mg capsules (Ennogen Healthcare Ltd),802020
'26024111000001100,Ciclosporin 50mg capsules (Ennogen Healthcare Ltd),802020
'28123311000001103,Ciclosporin 50mg capsules (Pharma-z Ltd),802020
'28123411000001105,Ciclosporin 50mg capsules (Pharma-z Ltd),802020
'28337411000001106,Vanquoral 50mg capsules (Teva UK Ltd),802020
'28338011000001101,Vanquoral 50mg capsules (Teva UK Ltd),802020
'327083007,Ciclosporin 100mg capsules,802020
'1155011000001109,Ciclosporin 100mg capsules,802020
'23677311000001108,Ciclosporin 100mg capsules,802020
'172611000001109,Sandimmun 100mg capsules (Novartis Pharmaceuticals UK Ltd),802020
'2355011000001101,Sandimmun 100mg capsules (Novartis Pharmaceuticals UK Ltd),802020
'456811000001107,Neoral 100mg capsules (Novartis Pharmaceuticals UK Ltd),802020
'2355111000001100,Neoral 100mg capsules (Novartis Pharmaceuticals UK Ltd),802020
'5394311000001108,Neoral 100mg capsules (Waymade Healthcare Plc),
'5394411000001101,Neoral 100mg capsules (Waymade Healthcare Plc),
'23677411000001101,Neoral 100mg capsules (Waymade Healthcare Plc),
'5571711000001104,Neoral 100mg capsules (Dowelhurst Ltd),
'5571911000001102,Neoral 100mg capsules (Dowelhurst Ltd),
'14344711000001108,Neoral 100mg capsules (Sigma Pharmaceuticals Plc),
'14344811000001100,Neoral 100mg capsules (Sigma Pharmaceuticals Plc),
'16306911000001100,Deximune 100mg capsules (Dexcel-Pharma Ltd),802020
'16307011000001101,Deximune 100mg capsules (Dexcel-Pharma Ltd),802020
'16550911000001109,Ciclosporin 100mg capsules (A A H Pharmaceuticals Ltd),802020
'16551011000001101,Ciclosporin 100mg capsules (A A H Pharmaceuticals Ltd),802020
'16562711000001100,Neoral 100mg capsules (Mawdsley-Brooks & Company Ltd),
'16562811000001108,Neoral 100mg capsules (Mawdsley-Brooks & Company Ltd),
'17665811000001108,Capimune 100mg capsules (Mylan),802020
'17665911000001103,Capimune 100mg capsules (Mylan),802020
'17857011000001106,Ciclosporin 100mg capsules (Phoenix Healthcare Distribution Ltd),802020
'17857111000001107,Ciclosporin 100mg capsules (Phoenix Healthcare Distribution Ltd),802020
'18603011000001107,Neoral 100mg capsules (DE Pharmaceuticals),
'18603111000001108,Neoral 100mg capsules (DE Pharmaceuticals),
'19376911000001102,Capsorin 100mg capsules (Morningside Healthcare Ltd),802020
'19377011000001103,Capsorin 100mg capsules (Morningside Healthcare Ltd),802020
'21263511000001105,Ciclosporin 100mg capsules (Sigma Pharmaceuticals Plc),802020
'21263611000001109,Ciclosporin 100mg capsules (Sigma Pharmaceuticals Plc),802020
'21835311000001101,Ciclosporin 100mg capsules (Cubic Pharmaceuticals Ltd),802020
'21835411000001108,Ciclosporin 100mg capsules (Cubic Pharmaceuticals Ltd),802020
'22408711000001107,Ciclosporin 100mg capsules (DE Pharmaceuticals),802020
'22408811000001104,Ciclosporin 100mg capsules (DE Pharmaceuticals),802020
'22604011000001104,Ciclosporin 100mg capsules (Colorama Pharmaceuticals Ltd),802020
'22604111000001103,Ciclosporin 100mg capsules (Colorama Pharmaceuticals Ltd),802020
'23428211000001103,Ciclosporin 100mg capsules (J M McGill Ltd),802020
'23428311000001106,Ciclosporin 100mg capsules (J M McGill Ltd),802020
'23936311000001108,Ciclosporin 100mg capsules (Niche Pharma Ltd),802020
'23936411000001101,Ciclosporin 100mg capsules (Niche Pharma Ltd),802020
'24113511000001103,Ciclosporin 100mg capsules (Lexon (UK) Ltd),802020
'24113911000001105,Ciclosporin 100mg capsules (Lexon (UK) Ltd),802020
'24158111000001107,Ciclosporin 100mg capsules (Ethigen Ltd),802020
'24158211000001101,Ciclosporin 100mg capsules (Ethigen Ltd),802020
'24520311000001104,Ciclosporin 100mg capsules (Mawdsley-Brooks & Company Ltd),802020
'24520411000001106,Ciclosporin 100mg capsules (Mawdsley-Brooks & Company Ltd),802020
'25695111000001104,Ciclosporin 100mg capsules (Icarus Pharmaceuticals Ltd),802020
'25695311000001102,Ciclosporin 100mg capsules (Icarus Pharmaceuticals Ltd),802020
'26019111000001108,Ciclosporin 100mg capsules (Ennogen Healthcare Ltd),802020
'26019411000001103,Ciclosporin 100mg capsules (Ennogen Healthcare Ltd),802020
'28122211000001100,Ciclosporin 100mg capsules (Pharma-z Ltd),802020
'28122511000001102,Ciclosporin 100mg capsules (Pharma-z Ltd),802020
'28338911000001102,Vanquoral 100mg capsules (Teva UK Ltd),802020
'28339111000001107,Vanquoral 100mg capsules (Teva UK Ltd),802020
'327103006,Tacrolimus 500microgram capsules,802020
'1099511000001100,Tacrolimus 500microgram capsules,802020
'11159811000001104,Tacrolimus 500microgram capsules,802020
'21204511000001109,Tacrolimus 500microgram capsules,802020
'656111000001103,Prograf 500microgram capsules (Astellas Pharma Ltd),802020
'2367611000001109,Prograf 500microgram capsules (Astellas Pharma Ltd),802020
'11159911000001109,Prograf 500microgram capsules (Waymade Healthcare Plc),
'19375411000001101,Prograf 500microgram capsules (Waymade Healthcare Plc),
'11160011000001106,Prograf 500microgram capsules (Waymade Healthcare Plc),
'21204611000001108,Prograf 500microgram capsules (Waymade Healthcare Plc),
'13947611000001101,Prograf 500microgram capsules (DE Pharmaceuticals),
'13947811000001102,Prograf 500microgram capsules (DE Pharmaceuticals),
'13947711000001105,Prograf 500microgram capsules (DE Pharmaceuticals),
'14728411000001109,Prograf 500microgram capsules (Sigma Pharmaceuticals Plc),
'14728511000001108,Prograf 500microgram capsules (Sigma Pharmaceuticals Plc),
'17589111000001109,Prograf 500microgram capsules (Sigma Pharmaceuticals Plc),
'17421711000001106,Prograf 500microgram capsules (Mawdsley-Brooks & Company Ltd),
'17421811000001103,Prograf 500microgram capsules (Mawdsley-Brooks & Company Ltd),
'17422011000001101,Prograf 500microgram capsules (Mawdsley-Brooks & Company Ltd),
'17624911000001109,Prograf 500microgram capsules (Necessity Supplies Ltd),
'17625011000001109,Prograf 500microgram capsules (Necessity Supplies Ltd),
'18044811000001100,Adoport 0.5mg capsules (Sandoz Ltd),802020
'18044911000001105,Adoport 0.5mg capsules (Sandoz Ltd),802020
'18618011000001102,Vivadex 0.5mg capsules (Dexcel-Pharma Ltd),802020
'18618111000001101,Vivadex 0.5mg capsules (Dexcel-Pharma Ltd),802020
'18643411000001109,Tacrolimus 500microgram capsules (A A H Pharmaceuticals Ltd),802020
'18643511000001108,Tacrolimus 500microgram capsules (A A H Pharmaceuticals Ltd),802020
'19293811000001104,Tacni 0.5mg capsules (Teva UK Ltd),802020
'19293911000001109,Tacni 0.5mg capsules (Teva UK Ltd),802020
'19496811000001109,Capexion 0.5mg capsules (Mylan),802020
'19496911000001104,Capexion 0.5mg capsules (Mylan),802020
'23563711000001102,Perixis 0.5mg capsules (Accord Healthcare Ltd),802020
'23563811000001105,Perixis 0.5mg capsules (Accord Healthcare Ltd),802020
'327096008,Tacrolimus 1mg capsules,802020
'1272511000001107,Tacrolimus 1mg capsules,802020
'1195911000001100,Tacrolimus 1mg capsules,802020
'5491211000001106,Tacrolimus 1mg capsules,802020
'11159611000001103,Tacrolimus 1mg capsules,802020
'209911000001103,Prograf 1mg capsules (Astellas Pharma Ltd),802020
'2368211000001106,Prograf 1mg capsules (Astellas Pharma Ltd),802020
'2368411000001105,Prograf 1mg capsules (Astellas Pharma Ltd),802020
'5491311000001103,Prograf 1mg capsules (Waymade Healthcare Plc),
'19485911000001107,Prograf 1mg capsules (Waymade Healthcare Plc),
'5491411000001105,Prograf 1mg capsules (Waymade Healthcare Plc),
'11159711000001107,Prograf 1mg capsules (Waymade Healthcare Plc),
'5570811000001104,Prograf 1mg capsules (Dowelhurst Ltd),
'5571011000001101,Prograf 1mg capsules (Dowelhurst Ltd),
'13947911000001107,Prograf 1mg capsules (DE Pharmaceuticals),
'19875611000001101,Prograf 1mg capsules (DE Pharmaceuticals),
'13948011000001109,Prograf 1mg capsules (DE Pharmaceuticals),
'14728611000001107,Prograf 1mg capsules (Sigma Pharmaceuticals Plc),
'17589411000001104,Prograf 1mg capsules (Sigma Pharmaceuticals Plc),
'14728711000001103,Prograf 1mg capsules (Sigma Pharmaceuticals Plc),
'17422111000001100,Prograf 1mg capsules (Mawdsley-Brooks & Company Ltd),
'17422211000001106,Prograf 1mg capsules (Mawdsley-Brooks & Company Ltd),
'18182811000001107,Prograf 1mg capsules (Mawdsley-Brooks & Company Ltd),
'17625111000001105,Prograf 1mg capsules (Necessity Supplies Ltd),
'17625211000001104,Prograf 1mg capsules (Necessity Supplies Ltd),
'18044411000001102,Adoport 1mg capsules (Sandoz Ltd),802020
'18044511000001103,Adoport 1mg capsules (Sandoz Ltd),802020
'18044711000001108,Adoport 1mg capsules (Sandoz Ltd),802020
'18065711000001103,Prograf 1mg capsules (Lexon (UK) Ltd),
'18065911000001101,Prograf 1mg capsules (Lexon (UK) Ltd),
'18065811000001106,Prograf 1mg capsules (Lexon (UK) Ltd),
'18617711000001101,Vivadex 1mg capsules (Dexcel-Pharma Ltd),802020
'18617811000001109,Vivadex 1mg capsules (Dexcel-Pharma Ltd),802020
'18617911000001104,Vivadex 1mg capsules (Dexcel-Pharma Ltd),802020
'18643711000001103,Tacrolimus 1mg capsules (A A H Pharmaceuticals Ltd),802020
'18643811000001106,Tacrolimus 1mg capsules (A A H Pharmaceuticals Ltd),802020
'18643911000001101,Tacrolimus 1mg capsules (A A H Pharmaceuticals Ltd),802020
'19294011000001107,Tacni 1mg capsules (Teva UK Ltd),802020
'19294111000001108,Tacni 1mg capsules (Teva UK Ltd),802020
'19294411000001103,Tacni 1mg capsules (Teva UK Ltd),802020
'19497011000001100,Capexion 1mg capsules (Mylan),802020
'19497911000001101,Capexion 1mg capsules (Mylan),802020
'19497111000001104,Capexion 1mg capsules (Mylan),802020
